,wine name,winery,wine year,wine rating,wine price,wine region,wine country,grape information,wine acidity,wine intensity,wine sweetness,wine tannin,wine description
40,The Y Series Sangiovese Rosé,Yalumba,2018,3.6,11.99,South Australia,Australia,,,,,,
41,Rosé,Rosé all day,2019,3.3,11.99,Pays d'Oc,France,Shiraz/Syrah,3.6107442,3.0049765,1.2427907,,
42,Piano Piano Rosato,Terre di Talamo,2015,3.5,11.99,Toscana,Italy,,,,,,
43,Bin 520 Cabernet Franc,Kiwi Cuvée,2019,3.5,11.99,Vin de France,France,,,,,,
44,Pinot Noir Rosé,Matua,2019,3.7,11.99,Central Otago,New Zealand,,,,,,
45,Rosé,The Pinot Project,2019,3.7,11.99,Veneto,Italy,,,,,,
46,Rosé,Domaine Houchart,2019,3.9,11.99,Côtes de Provence,France,Shiraz/Syrah,3.9925512999999997,2.557126,1.367062,,"No summer afternoon is complete without a little bit of the pale pink/orange wines from Provence.

These light and crisp roses have just the slightest touches of bright berry flavors and can complement a meal perfectly or be delightful on their own.

The dry, refreshing, pink wines of Provence may not be complicated or heady, but they are certainly lovely. These brightly flavored, yet pale colored wines are full of crisp acidity with light touches of tart red berries and citrus fruit.

These wines may not be serious, but you can't drink serious wines all of the time! Current trends are making these wines ridiculously popular, and for good reason.

They are the perfect summer wine and can make any light afternoon meal even better with their liveliness and pretty fruit. These are much lighter than most California roses, but are typically much fresher and sharper."
47,Les Vignes de Bila-Haut Pays d'Oc Rosé,M. Chapoutier,2017,3.8,11.99,Pays d'Oc,France,Shiraz/Syrah,3.7021587,3.029563,1.3233508999999999,,
48,Lambrusco Emilia Rosé,Riunite,N.V.,4.0,11.99,Emilia,Italy,,,,,,
49,Rosé,Tinto Rey,2018,3.9,11.99,Dunnigan Hills,United States,,,,,,
50,Rosé,Vrac,2019,3.8,11.99,Méditerranée,France,,,,,,
51,Rosado,El Terrano,2019,3.5,11.99,Cariñena,Spain,,,,,,
52,Rosato,Riunite,N.V.,3.6,11.99,Emilia-Romagna,Italy,,,,,,
53,Rosado,Sierra Cantabria,2016,3.5,11.99,Rioja,Spain,,,,,,
54,Rosé,Pratsch,2019,4.1,12.0,Niederösterreich,Austria,,,,,,
55,Juliette Rosé,La Sanglière,2017,3.6,12.59,Méditerranée,France,,,,,,
56,Band of Roses Rosé,Charles Smith,2017,3.6,12.95,Washington,United States,,,,,,
57,Aupa Pipeño,Maitia,2020,3.7,12.95,Maule Valley,Chile,,,,,,
58,Rosé of Pinot Noir,Acrobat,2019,3.8,12.95,Oregon,United States,,,,,,
59,Vintner's Reserve Rosé,Kendall-Jackson,2018,3.5,12.95,California,United States,,,,,,
60,La Grande Cuvée Rosé,Domaine Lafage,2016,4.2,12.95,Côtes du Roussillon,France,Shiraz/Syrah,3.453879,2.966596,1.3396072,,
61,Rosé,Bread & Butter,2019,3.7,12.95,Napa Valley,United States,,,,,,
62,Gris de Gris Corbières Rosé,Domaine de Fontsainte,2019,4.1,12.96,Corbières,France,Shiraz/Syrah,3.6343004999999997,3.0028558,1.3196430000000001,,
63,Rosé,Simple Life,2018,3.8,12.97,California,United States,,,,,,
64,Cape Bleue Rosé,Jean-Luc Colombo,2019,3.9,12.98,Coteaux d'Aix-en-Provence,France,Shiraz/Syrah,3.9834614,2.4834614,1.3016598,,"No summer afternoon is complete without a little bit of the pale pink/orange wines from Provence.

These light and crisp roses have just the slightest touches of bright berry flavors and can complement a meal perfectly or be delightful on their own.

The dry, refreshing, pink wines of Provence may not be complicated or heady, but they are certainly lovely. These brightly flavored, yet pale colored wines are full of crisp acidity with light touches of tart red berries and citrus fruit.

These wines may not be serious, but you can't drink serious wines all of the time! Current trends are making these wines ridiculously popular, and for good reason.

They are the perfect summer wine and can make any light afternoon meal even better with their liveliness and pretty fruit. These are much lighter than most California roses, but are typically much fresher and sharper."
65,Belleruche Côtes du Rhône Rosé,M. Chapoutier,2018,3.8,12.98,Côtes-du-Rhône,France,Shiraz/Syrah,3.3004038,3.4632945,1.7457663,,
66,Rosé,Mother,2017,3.4,12.99,California,United States,,,,,,
67,Rosé,Josh Cellars,2018,3.6,12.99,California,United States,,,,,,
68,Pinot Noir Rosé,Babich,2016,3.1,12.99,Marlborough,New Zealand,,,,,,
69,Vinho Verde Rosé,Mapreco,2019,4.0,12.99,Vinho Verde,Portugal,,,,,,
70,And Why am I Mr.Pink,Underground Wine Project,2017,3.6,12.99,Columbia Valley,United States,,,,,,
71,Rosato Colline Teatine,Masciarelli,2016,3.6,12.99,Colline Teatine,Italy,,,,,,
72,Rosé,The Little Sheep,2019,4.0,12.99,Vin de France,France,,,,,,
73,Rosé of Sangiovese,Barnard Griffin,2019,3.8,12.99,Columbia Valley,United States,,,,,,
74,Les Forts de Porquerolles Rosé,Domaine Perzinsky,2016,3.6,12.99,Côtes de Provence,France,Shiraz/Syrah,4.127692,2.9384615000000003,1.0,,"No summer afternoon is complete without a little bit of the pale pink/orange wines from Provence.

These light and crisp roses have just the slightest touches of bright berry flavors and can complement a meal perfectly or be delightful on their own.

The dry, refreshing, pink wines of Provence may not be complicated or heady, but they are certainly lovely. These brightly flavored, yet pale colored wines are full of crisp acidity with light touches of tart red berries and citrus fruit.

These wines may not be serious, but you can't drink serious wines all of the time! Current trends are making these wines ridiculously popular, and for good reason.

They are the perfect summer wine and can make any light afternoon meal even better with their liveliness and pretty fruit. These are much lighter than most California roses, but are typically much fresher and sharper."
75,Côtes de Provence Rosé,Château Montaud,2018,3.2,12.99,Côtes de Provence,France,Shiraz/Syrah,3.9767501000000003,2.65725,1.4015,,"No summer afternoon is complete without a little bit of the pale pink/orange wines from Provence.

These light and crisp roses have just the slightest touches of bright berry flavors and can complement a meal perfectly or be delightful on their own.

The dry, refreshing, pink wines of Provence may not be complicated or heady, but they are certainly lovely. These brightly flavored, yet pale colored wines are full of crisp acidity with light touches of tart red berries and citrus fruit.

These wines may not be serious, but you can't drink serious wines all of the time! Current trends are making these wines ridiculously popular, and for good reason.

They are the perfect summer wine and can make any light afternoon meal even better with their liveliness and pretty fruit. These are much lighter than most California roses, but are typically much fresher and sharper."
76,Rosé,Terra Vega,2019,3.3,12.99,Central Valley,Chile,,,,,,
77,Le Goat Rosé,Bully Hill,N.V.,3.6,12.99,New York,United States,,,,,,
78,Pinot Noir Rosé,Forbidden Vines,2017,3.7,12.99,Marlborough,New Zealand,,,,,,
79,Rosado (Selección Rosado / Rosé),Borsao Bodegas,2018,3.5,12.99,Campo de Borja,Spain,,,,,,
80,Rosado,Olivares,2019,3.7,12.99,Jumilla,Spain,,,,,,
81,Le Petit Caboche Rosé,Domaine du Père Caboche,2019,4.1,12.99,Vaucluse,France,,,,,,
82,Punto Final Malbec Rosé,Renacer,2018,3.6,12.99,Mendoza,Argentina,,,,,,
83,Rioja Rosado,Marqués de Cáceres,2018,3.4,12.99,Rioja,Spain,,,,,,
84,Rosé of Pinot Noir,Angeline,2019,3.7,12.99,California,United States,,,,,,
85,Juliette Rosé,La Sanglière,2018,3.9,12.99,Méditerranée,France,,,,,,
86,Rosé,Chloe,2019,3.8,12.99,Monterey County,United States,,,,,,
87,Rosé,Honoro Vera,2019,3.8,12.99,Jumilla,Spain,,,,,,
88,Piano Piano Rosato,Terre di Talamo,2018,3.5,12.99,Toscana,Italy,,,,,,
89,Moscato Rosé,Innocent Bystander,2019,4.1,12.99,Victoria,Australia,,,,,,
90,Le Saint Pâle Rosé,Maison l'Envoye,2019,3.9,12.99,Beaujolais,France,,,,,,
91,Diamond Collection Rosé,Francis Ford Coppola Winery,2019,3.8,12.99,California,United States,,,,,,
92,Rosado,Cune (CVNE),2019,3.4,12.99,Rioja,Spain,,,,,,
93,Rosado,Liquid Geography,2018,4.0,12.99,Bierzo,Spain,,,,,,
94,Cirò Rosato (Segno),Librandi,2019,3.8,12.99,Cirò,Italy,,,,,,
95,Rosé,Luna Nuda,2017,3.7,12.99,Vino d'Italia,Italy,,,,,,
96,Syrah Rosé (Sybel),Yves Cuilleron,2018,3.7,12.99,Collines Rhodaniennes,France,,,,,,
97,Côtes De Gascogne Rosé De Pressée,Domaine du Tariquet,2019,3.6,12.99,Côtes de Gascogne,France,Shiraz/Syrah,3.6319911,3.0780091,1.5711549999999999,,
98,Costières-de-Nîmes Rosé (Tradition de Campuget),Château de Campuget,2017,3.8,12.99,Costières-de-Nîmes,France,Shiraz/Syrah,3.3391629999999997,3.4419034,1.7733427,,
99,Cabernet Sauvignon Rosé,Mulderbosch,2019,3.6,12.99,Stellenbosch,South Africa,,,,,,
100,Perlita Rosado,DiamAndes,2019,3.6,13.0,Uco Valley,Argentina,,,,,,
101,Rosé,Aerena,2018,3.6,12.99,California,United States,,,,,,
102,Rosé,Etude,2018,3.8,13.5,Santa Barbara County,United States,,,,,,
103,Negroamaro Salento Calafuria Rosato,Tormaresca,2019,4.0,13.95,Salento,Italy,,,,,,
104,Côtes de Provence,Fleurs de Prairie,2019,4.0,13.95,Côtes de Provence,France,Shiraz/Syrah,3.9773562000000005,2.478112,1.3787585,,"No summer afternoon is complete without a little bit of the pale pink/orange wines from Provence.

These light and crisp roses have just the slightest touches of bright berry flavors and can complement a meal perfectly or be delightful on their own.

The dry, refreshing, pink wines of Provence may not be complicated or heady, but they are certainly lovely. These brightly flavored, yet pale colored wines are full of crisp acidity with light touches of tart red berries and citrus fruit.

These wines may not be serious, but you can't drink serious wines all of the time! Current trends are making these wines ridiculously popular, and for good reason.

They are the perfect summer wine and can make any light afternoon meal even better with their liveliness and pretty fruit. These are much lighter than most California roses, but are typically much fresher and sharper."
105,Rosé,Charles & Charles,2014,3.5,13.99,Columbia Valley,United States,,,,,,
106,Garnatxa Negra Rosat,Herencia Altés,2018,3.4,13.99,Terra Alta,Spain,,,,,,
107,Coteaux Varois en Provence Rosé,Château Routas,2019,3.8,13.99,Coteaux Varois en Provence,France,Shiraz/Syrah,3.9536686000000003,2.5051873,1.3087635,,"No summer afternoon is complete without a little bit of the pale pink/orange wines from Provence.

These light and crisp roses have just the slightest touches of bright berry flavors and can complement a meal perfectly or be delightful on their own.

The dry, refreshing, pink wines of Provence may not be complicated or heady, but they are certainly lovely. These brightly flavored, yet pale colored wines are full of crisp acidity with light touches of tart red berries and citrus fruit.

These wines may not be serious, but you can't drink serious wines all of the time! Current trends are making these wines ridiculously popular, and for good reason.

They are the perfect summer wine and can make any light afternoon meal even better with their liveliness and pretty fruit. These are much lighter than most California roses, but are typically much fresher and sharper."
108,Côte des Roses Rosé,Gérard Bertrand,2018,4.0,13.99,Languedoc,France,Shiraz/Syrah,3.6050224,2.9219772999999996,1.35217,,
109,Le Rosé,Lapostolle,2018,4.0,13.99,Rapel Valley,Chile,,,,,,
110,Sofia Rosé,Francis Ford Coppola Winery,2017,3.7,13.99,Monterey County,United States,,,,,,
111,Rosé (Cuvée Sabine),Bieler Père et Fils,2016,3.8,13.99,Coteaux d'Aix-en-Provence,France,Shiraz/Syrah,4.0322046,2.4873877,1.3242843999999998,,"No summer afternoon is complete without a little bit of the pale pink/orange wines from Provence.

These light and crisp roses have just the slightest touches of bright berry flavors and can complement a meal perfectly or be delightful on their own.

The dry, refreshing, pink wines of Provence may not be complicated or heady, but they are certainly lovely. These brightly flavored, yet pale colored wines are full of crisp acidity with light touches of tart red berries and citrus fruit.

These wines may not be serious, but you can't drink serious wines all of the time! Current trends are making these wines ridiculously popular, and for good reason.

They are the perfect summer wine and can make any light afternoon meal even better with their liveliness and pretty fruit. These are much lighter than most California roses, but are typically much fresher and sharper."
112,Rosé,Josh Cellars,2019,3.6,13.99,California,United States,,,,,,
113,Vérité du Terroir Côtes de Provence Rosé,Château La Gordonne,2018,3.8,13.99,Côtes de Provence,France,Shiraz/Syrah,3.9858602999999997,2.4669416,1.4002419,,"No summer afternoon is complete without a little bit of the pale pink/orange wines from Provence.

These light and crisp roses have just the slightest touches of bright berry flavors and can complement a meal perfectly or be delightful on their own.

The dry, refreshing, pink wines of Provence may not be complicated or heady, but they are certainly lovely. These brightly flavored, yet pale colored wines are full of crisp acidity with light touches of tart red berries and citrus fruit.

These wines may not be serious, but you can't drink serious wines all of the time! Current trends are making these wines ridiculously popular, and for good reason.

They are the perfect summer wine and can make any light afternoon meal even better with their liveliness and pretty fruit. These are much lighter than most California roses, but are typically much fresher and sharper."
114,Belle Année Rosé,Mirabeau,2019,3.8,13.99,Vin de France,France,,,,,,
115,Rosé,Thrive,2018,3.7,13.99,California,United States,,,,,,
116,Miraflors Rosé,Domaine Lafage,2018,3.9,13.99,Côtes du Roussillon,France,Shiraz/Syrah,3.6075091,2.86553,1.3049989,,
117,Rosé,Angels & Cowboys,2019,4.0,13.99,Sonoma County,United States,,,,,,
118,Rosé,Bonterra,2019,3.6,13.99,Mendocino County,United States,,,,,,
119,Rosé (Grenache - Cabernet Sauvignon),Los Dos,2019,3.8,13.99,Campo de Borja,Spain,,,,,,
120,Côtes-du-Rhône Rosé,M. Chapoutier,2017,3.4,13.99,Côtes-du-Rhône,France,Shiraz/Syrah,3.2,2.9358022,1.5143211,,
121,Agiorgitiko 14-18H,Gaía,2018,3.5,13.99,Peloponnesos,Greece,,,,,,
122,Pinot Noir Rosé,Maison Nicolas,2019,3.9,13.99,Gard,France,Shiraz/Syrah,3.6198690000000004,2.9475107000000005,1.336594,,
123,Rosé d'Anjou,Château de la Roulerie,2018,4.1,14.0,Rosé d'Anjou,France,,,,,,
124,Rosé of Malbec,Bodini,2017,3.5,14.0,Mendoza,Argentina,,,,,,
125,Moulin de Gassac Guilhem Rosé,Mas de Daumas Gassac,2017,3.8,14.0,Hérault,France,Shiraz/Syrah,3.6554263,2.9998581000000004,1.3183995000000002,,
126,Rosé,Woodbridge by Robert Mondavi,2018,3.2,14.0,California,United States,,,,,,
127,La Gazzara Toscana Rosato,Castell'in Villa,2018,3.8,14.0,Toscana,Italy,,,,,,
128,Aupa Pipeño,Maitia,2016,3.7,14.0,Maule Valley,Chile,,,,,,
129,Kadette Pinotage Rosé,Kanonkop,2019,3.6,14.240833333333333,Stellenbosch,South Africa,,,,,,
130,Rosé,Hogwash,2019,3.7,14.583333333333336,California,United States,,,,,,
131,Rosé,Decoy,2019,3.7,14.583333333333336,California,United States,,,,,,
132,Rosé,Elouan,2019,4.0,14.75,Oregon,United States,,,,,,
133,Rosé,A to Z,2019,3.8,14.95,Oregon,United States,,,,,,
134,Pinks Dry Rosé,Hartley Ostini Hitching Post,2018,3.3,14.95,Central Coast,United States,,,,,,
135,Rosé,Maddalena Vineyards,2018,3.8,14.95,Paso Robles,United States,,,,,,
136,La Croix des Templiers Rosé,Peyrassol,2019,4.0,14.95,Méditerranée,France,,,,,,
137,Sofia Rosé,Francis Ford Coppola Winery,2018,3.9,14.95,Monterey County,United States,,,,,,
138,Chinon Rosé,Charles Joguet,2017,3.8,14.95,Chinon,France,,,,,,
139,Rosé,Raeburn,2019,4.1,14.95,Russian River Valley,United States,,,,,,
140,Tavel Les Eglantiers Rosè,Brotte,2015,3.9,14.95,Tavel,France,Shiraz/Syrah,3.257719,3.3548430000000002,1.8979173999999999,,
141,Collection Rosé,J. Mourat,2019,4.0,14.95,Loire Valley,France,,,,,,
142,Negroamaro Kreos,Castello Monaci,2019,3.8,14.95,Salento,Italy,,,,,,
143,Côtes-du-Rhône Rosé,E. Guigal,2015,3.6,14.97,Côtes-du-Rhône,France,Shiraz/Syrah,3.2366552000000004,3.4151206,1.7625959,,
144,Côtes de Provence Rosé,Maison Saleya,2019,3.9,14.98,Côtes de Provence,France,Shiraz/Syrah,4.1124654000000005,2.5048957,1.2339236,,"No summer afternoon is complete without a little bit of the pale pink/orange wines from Provence.

These light and crisp roses have just the slightest touches of bright berry flavors and can complement a meal perfectly or be delightful on their own.

The dry, refreshing, pink wines of Provence may not be complicated or heady, but they are certainly lovely. These brightly flavored, yet pale colored wines are full of crisp acidity with light touches of tart red berries and citrus fruit.

These wines may not be serious, but you can't drink serious wines all of the time! Current trends are making these wines ridiculously popular, and for good reason.

They are the perfect summer wine and can make any light afternoon meal even better with their liveliness and pretty fruit. These are much lighter than most California roses, but are typically much fresher and sharper."
145,Rosé,Oyster Bay,2018,3.6,14.99,Marlborough,New Zealand,,,,,,
146,IL Ramato,Scarbolo,2018,3.7,14.99,Friuli-Venezia Giulia,Italy,,,,,,
147,Tous Ensemble Rosé of Pinot Noir,Copain,2018,3.5,14.99,Anderson Valley,United States,,,,,,
148,Pinot Grigio Ramato,Attems,2019,3.9,14.99,Friuli-Venezia Giulia,Italy,,,,,,
149,The Palm Whispering Angel Rosé,Château d'Esclans,2019,3.9,14.99,Provence,France,Shiraz/Syrah,3.9299152000000004,2.5175567,1.3949693,,"No summer afternoon is complete without a little bit of the pale pink/orange wines from Provence.

These light and crisp roses have just the slightest touches of bright berry flavors and can complement a meal perfectly or be delightful on their own.

The dry, refreshing, pink wines of Provence may not be complicated or heady, but they are certainly lovely. These brightly flavored, yet pale colored wines are full of crisp acidity with light touches of tart red berries and citrus fruit.

These wines may not be serious, but you can't drink serious wines all of the time! Current trends are making these wines ridiculously popular, and for good reason.

They are the perfect summer wine and can make any light afternoon meal even better with their liveliness and pretty fruit. These are much lighter than most California roses, but are typically much fresher and sharper."
150,Rosé,Monte Ory,2019,3.6,14.99,Navarra,Spain,,,,,,
151,Rosé,Flat Top Hills,2018,3.4,14.99,California,United States,,,,,,
152,Rosé,Edna Valley Vineyard,2016,3.4,14.99,San Luis Obispo County,United States,,,,,,
153,Malbec Rosé,Finca el Origen,2018,3.7,14.99,Mendoza,Argentina,,,,,,
154,Limniona Rosé,Κτήμα Ζαφειράκη (Domaine Zafeirakis),2019,3.9,14.99,Tyrnavos,Greece,,,,,,
155,Rosé,Purato,2018,3.2,14.99,Terre Siciliane,Italy,,,,,,
156,Rioja Rosado,Viña Real,2015,3.5,14.99,Rioja,Spain,,,,,,
157,Rosé,Pinuaga,2019,3.9,14.99,Castilla,Spain,,,,,,
158,Vin Gris de Cigare,Bonny Doon,2019,3.6,14.99,Central Coast,United States,,,,,,
159,Saint-Drézéry Prestige Rosé,Château Puech-Haut,2019,4.2,14.99,Saint-Drézéry,France,Shiraz/Syrah,3.5711044999999997,2.9757974,1.2739108000000001,,
160,Côte des Roses Rosé,Gérard Bertrand,2019,3.9,14.99,Languedoc,France,Shiraz/Syrah,3.6050224,2.9219772999999996,1.35217,,
161,Pinotage Rosé,Backsberg,2019,4.1,14.99,Paarl,South Africa,,,,,,
162,Pinot Noir Rosé,Matua,2017,3.7,14.99,Central Otago,New Zealand,,,,,,
163,Rosado,Muga,2018,3.8,14.99,Rioja,Spain,,,,,,
164,Pinot Noir Rosé,Leyda,2017,3.6,14.99,Leyda Valley,Chile,,,,,,
165,Côtes de Provence Rosé,Champs de Provence,2019,3.9,14.99,Côtes de Provence,France,Shiraz/Syrah,4.0039067,2.4835062000000003,1.2654312,,"No summer afternoon is complete without a little bit of the pale pink/orange wines from Provence.

These light and crisp roses have just the slightest touches of bright berry flavors and can complement a meal perfectly or be delightful on their own.

The dry, refreshing, pink wines of Provence may not be complicated or heady, but they are certainly lovely. These brightly flavored, yet pale colored wines are full of crisp acidity with light touches of tart red berries and citrus fruit.

These wines may not be serious, but you can't drink serious wines all of the time! Current trends are making these wines ridiculously popular, and for good reason.

They are the perfect summer wine and can make any light afternoon meal even better with their liveliness and pretty fruit. These are much lighter than most California roses, but are typically much fresher and sharper."
166,The Palm Whispering Angel Rosé,Château d'Esclans,2018,3.9,14.99,Provence,France,Shiraz/Syrah,3.9299152000000004,2.5175567,1.3949693,,"No summer afternoon is complete without a little bit of the pale pink/orange wines from Provence.

These light and crisp roses have just the slightest touches of bright berry flavors and can complement a meal perfectly or be delightful on their own.

The dry, refreshing, pink wines of Provence may not be complicated or heady, but they are certainly lovely. These brightly flavored, yet pale colored wines are full of crisp acidity with light touches of tart red berries and citrus fruit.

These wines may not be serious, but you can't drink serious wines all of the time! Current trends are making these wines ridiculously popular, and for good reason.

They are the perfect summer wine and can make any light afternoon meal even better with their liveliness and pretty fruit. These are much lighter than most California roses, but are typically much fresher and sharper."
167,Kòmaros Rosato,Garofoli,2019,3.8,14.99,Marche,Italy,,,,,,
168,DMZ Cabernet Rosé,DeMorgenzon,2019,3.6,14.99,Western Cape,South Africa,,,,,,
169,Tempranillo Rosé,Mesta,2018,3.6,14.99,Uclés,Spain,,,,,,
170,Rosé of Pinot Noir,Wither Hills,2018,3.6,14.99,Marlborough,New Zealand,,,,,,
171,Rosé,Malene,2019,4.0,14.99,Central Coast,United States,,,,,,
172,Serra Lori Isola dei Nuraghi,Argiolas,2018,3.6,14.99,Isola dei Nuraghi,Italy,,,,,,
173,Rosé,North by Northwest (NxNW),2016,3.9,14.99,Columbia Valley,United States,,,,,,
174,Las Lilas Rosé,Adega Ponte da Barca,2019,4.1,14.99,Vinho Verde,Portugal,,,,,,
175,Père et Fils Cinsault - Syrah,Laurent Miquel,2019,3.9,14.99,Pays d'Oc,France,Shiraz/Syrah,3.5803517999999994,2.8888624,1.2876809,,
176,Estate Pinot Noir Rosé (Varietales),Bodega Garzón,2019,3.9,14.99,Maldonado,Uruguay,,,,,,
177,Tempranillo Rosé,Mesta,2019,3.5,14.99,Uclés,Spain,,,,,,
178,Mas Donis Rosat Montsant,Capçanes,2018,3.5,14.99,Montsant,Spain,,,,,,
179,Rosé,Château la Verrerie,2018,3.9,14.99,Luberon,France,Shiraz/Syrah,3.0775083999999997,3.356792,1.7602048,,
180,Cuvée Bellenos Rosé of Gamay Noir,Maison Roche de Bellene,2017,3.8,14.99,Beaujolais,France,,,,,,
181,Atlantis Rosé,Argyros,2017,3.9,14.99,Santorini,Greece,,,,,,
182,Rosé,Purato,2019,3.6,14.99,Terre Siciliane,Italy,,,,,,
183,Rosé,Lorenza,2019,4.2,14.99,California,United States,,,,,,
184,Dry Rosé,Bridge Lane,2019,3.9,15.0,North Fork of Long Island,United States,,,,,,
185,Syrah - Grenache Rosé,Reine Juliette,2019,4.1,15.0,Languedoc-Roussillon,France,Shiraz/Syrah,3.5013952000000006,2.9873257,1.2013954,,
186,Sancerre Rosé,Pascal Jolivet,2018,4.1,15.0,Sancerre,France,,,,,,
187,Miraflors Rosé,Domaine Lafage,2019,4.0,15.95,Côtes du Roussillon,France,Shiraz/Syrah,3.6075091,2.86553,1.3049989,,
188,Italian Rosé,Midnight Black Rosé,2017,3.9,15.99,Trentino,Italy,,,,,,
189,Dry Rose,Nortico,2019,3.9,15.99,Minho,Portugal,,,,,,
190,Ros'Aura,Feudi di San Gregorio,2019,3.7,15.99,Campania,Italy,,,,,,
