,wine name,winery,wine year,wine rating,wine price,wine region,wine country,grape information,wine acidity,wine intensity,wine sweetness,wine tannin,wine description
10,Sweet Walter Rosé,Bully Hill,N.V.,4.0,12.99,New York,United States,,,,,,
11,Piemonte Brachetto,Bartenura,2016,4.2,13.99,Piemonte,Italy,,,,,,
12,Electra Red (California Moscato),Quady,2019,4.0,13.99,Madera,United States,,,,,,
13,Electra White (California Moscato),Quady,2018,4.2,13.99,Madera,United States,,,,,,
14,Zinfandel Late Harvest Liquid Love,Tobin James Cellars,2015,4.1,14.95,Paso Robles,United States,,,,,,
15,Niersteiner Hipping Riesling Spätlese,Georg Albrecht Schneider,2017,4.2,14.95,Nierstein,Germany,Riesling,3.6604123,3.2714431,2.9257731,,"Riesling is without question Germany's favorite grape. Widely planted, though once derided, Riesling is the superstar of the white wine world at the moment.

There is a lot of scope for versatility with this sweet, viscous wine, though you can expect to get hints of tropical fruit, nectarine, melon and pineapple from a solid Riesling.

The grape originated in the Rhine region of Germany, and the best of them are said to grow along the banks of the Mosel River on the beautiful steep, south facing hills.

There are six categories of Riesling which indicate the ripeness of the grapes. Kabinett is considered “off-dry” and is a typically ripe grape. Spätlese is riper and therefor sweeter, and Auslese is even riper still. Beyond on that you have Beerenauslese, Trockenbeerenauslese and Eiswein (or ice wine), all getting sweeter, more viscous and more expensive.

It's a favorite in the food and beverage industry because of its willingness to play with a wide variety of foods, particular spicy dishes. The current Asian fusion boom is thought to have had a tremendous effect on Riesling's popularity."
16,Piemonte Brachetto,Bartenura,2018,3.8,14.99,Piemonte,Italy,,,,,,
17,Riesling Spätlese,Schlink Haus,2019,3.9,15.99,Nahe,Germany,Riesling,3.1321335,2.3804,3.2788,,"Riesling is without question Germany's favorite grape. Widely planted, though once derided, Riesling is the superstar of the white wine world at the moment.

There is a lot of scope for versatility with this sweet, viscous wine, though you can expect to get hints of tropical fruit, nectarine, melon and pineapple from a solid Riesling.

The grape originated in the Rhine region of Germany, and the best of them are said to grow along the banks of the Mosel River on the beautiful steep, south facing hills.

There are six categories of Riesling which indicate the ripeness of the grapes. Kabinett is considered “off-dry” and is a typically ripe grape. Spätlese is riper and therefor sweeter, and Auslese is even riper still. Beyond on that you have Beerenauslese, Trockenbeerenauslese and Eiswein (or ice wine), all getting sweeter, more viscous and more expensive.

It's a favorite in the food and beverage industry because of its willingness to play with a wide variety of foods, particular spicy dishes. The current Asian fusion boom is thought to have had a tremendous effect on Riesling's popularity."
18,Trittenheim Beerenauslese,Romerhof,2009,3.7,15.99,Mosel,Germany,,,,,,
19,Sauternes,Chateau Prost,2015,4.0,15.99,Sauternes,France,Sauvignon Blanc,,,,,
20,Premium Fine Muscat,R.L. Buller & Son,N.V.,3.8,16.140833333333333,Victoria,Australia,,,,,,
21,Premium Fine Tokay,R.L. Buller & Son,N.V.,3.6,16.140833333333333,Victoria,Australia,,,,,,
22,Sauternes,Maison Nicolas,2015,3.8,17.99,Sauternes,France,Sauvignon Blanc,4.2565956,4.9704967,4.9838295,,
23,Malvasia di Castelnuovo Don Bosco,Cascina Gilli,2017,4.2,18.97,Malvasia di Castelnuovo don Bosco,Italy,,,,,,
24,Tokaj Furmint,Carpinus,2018,3.7,18.99,Tokaj,Hungary,,,,,,
25,Elysium,Quady,2017,4.1,18.99,Madera,United States,,,,,,
26,Tokaji Kësõi Szüret Late Harvest,Disznókó,2017,3.9,18.99,Tokaj,Hungary,,,,,,
27,La Magendia,Clos Lapeyre,2016,3.9,19.95,Jurançon,France,,,,,,
28,No. 1 Seleccion Especial,Jorge Ordóñez,2015,4.0,19.99,Málaga,Spain,,,,,,
29,Cape Ruby,Riebeek Cellars,N.V.,3.9,19.99,Swartland,South Africa,,,,,,
30,Riesling Vin de Glacière,Pacific Rim,2016,4.1,19.99,Columbia Valley,United States,Riesling,,,,,
31,Noble - Riesling Patricia,Brown Brothers,2015,4.2,19.99,King Valley,Australia,Riesling,,,,,
32,Sauternes,Château Laribotte,2016,4.0,19.99,Sauternes,France,Sauvignon Blanc,4.42644,4.8371463,4.9464517,,
33,Piesporter Goldtröpfchen Riesling Spätlese,Havemeyer,2018,4.1,19.99,Piesport,Germany,Riesling,,,,,"Riesling is without question Germany's favorite grape. Widely planted, though once derided, Riesling is the superstar of the white wine world at the moment.

There is a lot of scope for versatility with this sweet, viscous wine, though you can expect to get hints of tropical fruit, nectarine, melon and pineapple from a solid Riesling.

The grape originated in the Rhine region of Germany, and the best of them are said to grow along the banks of the Mosel River on the beautiful steep, south facing hills.

There are six categories of Riesling which indicate the ripeness of the grapes. Kabinett is considered “off-dry” and is a typically ripe grape. Spätlese is riper and therefor sweeter, and Auslese is even riper still. Beyond on that you have Beerenauslese, Trockenbeerenauslese and Eiswein (or ice wine), all getting sweeter, more viscous and more expensive.

It's a favorite in the food and beverage industry because of its willingness to play with a wide variety of foods, particular spicy dishes. The current Asian fusion boom is thought to have had a tremendous effect on Riesling's popularity."
34,Fiano di Avellino,Terredora,2018,3.9,19.99,Fiano de Avellino,Italy,Malvasia,3.2308207,3.6288943,1.5928308,,"Italy is responsible for some of the finest wines in the world, and while Northern Italy receives the majority of the plaudits, there is some excellent wine emerging from the sparsely populated southern regions.

Fiano and Greco are the two big white varietals in Campania and Basilicata, while Sicily has become known for their Bianco d'Alcamo, a dry wine made from the Marsala grape.

Southern Italy's reputation has taken a beating in recent years as they have become known for producing bulk wine that they can't sell, and the reputation seems to endure despite some lovely wine coming from Sicily, Campania and Basilicata.

Fiano tends to be a wonderfully creamy white wine with lots of green apple skin and pear. Greco, arguably Campania's flagship white grape, is a lot crisper, and typically has an abundance of minerality, lemon notes and pear.

The white wine of Southern Italy pairs extremely well with the creamy regional cuisine, as well as with some freshly caught fish or shellfish."
35,Rutherglen Tokay,Campbells,N.V.,3.5,19.99,Rutherglen,Australia,,,,,,
36,La Fleur Renaissance Sauternes,Antoine Moueix,2016,3.6,19.99,Sauternes,France,Sauvignon Blanc,4.1807327,4.7526197,4.965014,,
37,Muscat,All Saints,N.V.,4.1,20.890833333333333,Rutherglen,Australia,,,,,,
38,Cuvée Spätlese,Kracher,2017,3.7,21.56,Burgenland,Austria,,,,,,
39,L'Abbaye Monbazillac,Domaine l'Ancienne Cure,2010,4.0,21.95,Monbazillac,France,,,,,,
40,Tokaji Kësõi Szüret Late Harvest,Disznókó,2016,4.0,21.99,Tokaj,Hungary,,,,,,
41,Lieutenant de Sigalas Sauternes,Château Sigalas Rabaud,2008,3.7,22.99,Sauternes,France,Sauvignon Blanc,4.317603599999999,4.565608999999999,4.919844599999999,,
42,Loupiac,Château de Ricaud,2009,3.7,22.99,Loupiac,France,,,,,,
43,Castelnau de Suduiraut Sauternes,Château Suduiraut,2012,3.8,23.99,Sauternes,France,Sauvignon Blanc,4.3702135,4.77425,4.911257,,
44,Château Haut-Mayne Sauternes,Roumazeilles,2017,3.8,23.99,Sauternes,France,Sauvignon Blanc,4.455241,4.9809019999999995,4.9809019999999995,,
45,No. 2 Victoria,Jorge Ordóñez,2015,4.3,24.99,Málaga,Spain,,,,,,
46,Ats - Mad Cuvee - Late Harvest,Royal Tokaji,2016,3.8,24.99,Tokaj,Hungary,,,,,,
47,Costat Darrèr Jurançon,Camin Larredya,2016,4.1,24.99,Jurançon,France,,,,,,
48,Sauternes,Château Roumieu,2016,3.8,25.99,Sauternes,France,Sauvignon Blanc,4.3672223,4.738419,4.848928,,
49,Riesling Ice,Wagner Vineyards,2017,4.0,26.99,Finger Lakes,United States,,,,,,
50,Cuvée Auslese,Kracher,2011,3.8,27.99,Burgenland,Austria,,,,,,
51,Château Petit Vedrines Sauternes,Château Doisy-Vedrines,2013,4.0,27.99,Sauternes,France,Sauvignon Blanc,4.400394,4.687533,4.8941230000000004,,
52,Late Harvest Torrontes,Susana Balbo,2017,3.8,27.99,San Carlos,Argentina,Torrontés,,,,,"Argentina's Torrontés grape produces a highly-aromatic dry white wine with dazzling aromas of honeysuckle, orange blossoms, lavender, geranium and rose petals. On the palate, these wines are crisp with bright, and refreshing citrus and tropical fruit notes along with great minerality. Some boast a lingering, spicy finish.

There are three types of Torrontés found in South America: Torrontés Riojano, a highly aromatic wine;  Torrontés Sanjuanino, which is less fragrant than the Riojano, and the Torrontés Mendocino, the least expressive of the three. 

Torrontés thrives in high-altitude, cool, dry climates. The Riojano shows the most depth in Argentina's Cafayate region of Salta, situated on the edge of the Andes Mountains in the northwestern part of the country.

Wine critics warn that when Torrontés is grown in warmer climates or not produced properly, it can be over-alcoholic and bitter."
53,Lions de Suduiraut Sauternes,Château Suduiraut,2014,3.8,28.0,Sauternes,France,Sauvignon Blanc,4.3836417,4.8312454,4.9321523,,
54,Lieutenant de Sigalas Sauternes,Château Sigalas Rabaud,2013,4.2,28.99,Sauternes,France,Sauvignon Blanc,4.317603599999999,4.565608999999999,4.919844599999999,,
55,Malvasia Volcanica Semidulce,Bermejo,2015,4.1,29.0,Lanzarote,Spain,,,,,,
56,Late Harvest Malbec,Susana Balbo,2013,3.9,29.95,Lujan de Cuyo,Argentina,Malbec,2.1731868,3.6223676,3.7298002,2.0106704,"Extremely popular, Argentinian Malbec is an inky, medium-bodied, dry red wine with strong impressions of dark fruits on the nose and palate. This wine tends to have mellower tannins than its French counterpart.

Heavily dependent on where they are grown for variations in flavor, Argentinian Malbec has quickly become a world favorite due to the characteristics that the high altitude climate and soils impart to the fruit.

Originally from France, it is one of the original 5 “Bordeaux” grapes. It is scarcely planted in France anymore.

It has found an amazingly hospitable home in the mountains of Argentina from which some of the world's best selling Malbecs are grown.

Starkly different from French versions in structure and flavor, this wine is a good investment for collectors, as the wine can age for several years before drinking.This wine also pairs very well with any savory red meat dish-- particularly dishes that include spice."
57,Eiswein,Eifel Pfeiffer,2016,3.8,29.99,Rheinhessen,Germany,,,,,,
58,Mad Late Harvest,Szent Tamás,2014,4.1,29.99,Tokaj,Hungary,,,,,,
59,Late Harvest Malbec,Susana Balbo,2016,3.8,29.99,Lujan de Cuyo,Argentina,Malbec,2.1731868,3.6223676,3.7298002,2.0106704,"Extremely popular, Argentinian Malbec is an inky, medium-bodied, dry red wine with strong impressions of dark fruits on the nose and palate. This wine tends to have mellower tannins than its French counterpart.

Heavily dependent on where they are grown for variations in flavor, Argentinian Malbec has quickly become a world favorite due to the characteristics that the high altitude climate and soils impart to the fruit.

Originally from France, it is one of the original 5 “Bordeaux” grapes. It is scarcely planted in France anymore.

It has found an amazingly hospitable home in the mountains of Argentina from which some of the world's best selling Malbecs are grown.

Starkly different from French versions in structure and flavor, this wine is a good investment for collectors, as the wine can age for several years before drinking.This wine also pairs very well with any savory red meat dish-- particularly dishes that include spice."
60,Vendimia Tardia Allegro Moscatel,Pago de Cirsus,2008,4.1,29.99,Navarra,Spain,,,,,,
61,Late Harvest Malbec,Susana Balbo,2017,3.9,29.99,Lujan de Cuyo,Argentina,Malbec,2.1731868,3.6223676,3.7298002,2.0106704,"Extremely popular, Argentinian Malbec is an inky, medium-bodied, dry red wine with strong impressions of dark fruits on the nose and palate. This wine tends to have mellower tannins than its French counterpart.

Heavily dependent on where they are grown for variations in flavor, Argentinian Malbec has quickly become a world favorite due to the characteristics that the high altitude climate and soils impart to the fruit.

Originally from France, it is one of the original 5 “Bordeaux” grapes. It is scarcely planted in France anymore.

It has found an amazingly hospitable home in the mountains of Argentina from which some of the world's best selling Malbecs are grown.

Starkly different from French versions in structure and flavor, this wine is a good investment for collectors, as the wine can age for several years before drinking.This wine also pairs very well with any savory red meat dish-- particularly dishes that include spice."
62,Oppenheimer Sackträger Riesling Spätlese Trocken,Louis Guntrum,2013,3.7,30.99,Rheinhessen,Germany,Riesling,3.8782853999999998,3.4914283999999998,1.2171428,,"Riesling is without question Germany's favorite grape. Widely planted, though once derided, Riesling is the superstar of the white wine world at the moment.

There is a lot of scope for versatility with this sweet, viscous wine, though you can expect to get hints of tropical fruit, nectarine, melon and pineapple from a solid Riesling.

The grape originated in the Rhine region of Germany, and the best of them are said to grow along the banks of the Mosel River on the beautiful steep, south facing hills.

There are six categories of Riesling which indicate the ripeness of the grapes. Kabinett is considered “off-dry” and is a typically ripe grape. Spätlese is riper and therefor sweeter, and Auslese is even riper still. Beyond on that you have Beerenauslese, Trockenbeerenauslese and Eiswein (or ice wine), all getting sweeter, more viscous and more expensive.

It's a favorite in the food and beverage industry because of its willingness to play with a wide variety of foods, particular spicy dishes. The current Asian fusion boom is thought to have had a tremendous effect on Riesling's popularity."
63,Sauternes,Château Raymond-Lafon,2015,4.2,31.0,Sauternes,France,Sauvignon Blanc,4.369524500000001,4.699751,4.912559,,
64,Tokaji Late Harvest,Oremus,2017,4.1,32.0,Tokaj,Hungary,,,,,,
65,Cérons,Grand Enclos du Château de Cérons,2009,3.7,32.99,Cérons,France,,,,,,
66,Montefalco Sagrantino d'Arquata Passito,Adanti,2008,4.1,32.99,Montefalco Sagrantino,Italy,,,,,,
67,Sanct Valentin Comtess Passito,St. Michael-Eppan,2011,4.3,33.99,Südtirol - Alto Adige,Italy,,,,,,
68,Lions de Suduiraut Sauternes,Château Suduiraut,2017,3.9,33.99,Sauternes,France,Sauvignon Blanc,4.3836417,4.8312454,4.9321523,,
69,Costat Darrèr Jurançon,Camin Larredya,2017,4.1,33.99,Jurançon,France,,,,,,
70,Late Harvest Riesling,Hermann J. Wiemer,2018,4.2,33.99,Seneca Lake,United States,,,,,,
71,Cuvée Beerenauslese,Kracher,2013,4.1,34.99,Burgenland,Austria,,,,,,
72,Sauternes (Grand Cru Classé),Château Doisy-Vedrines,2010,4.1,34.99,Sauternes,France,Sauvignon Blanc,4.3899745999999995,4.7700806,4.8920392999999995,,
73,Trittenheimer Apotheke Riesling Spätlese,Ansgar Clüsserath,2017,3.9,34.99,Mosel,Germany,Riesling,3.6109428,3.1206949,3.2191565,,"Riesling is without question Germany's favorite grape. Widely planted, though once derided, Riesling is the superstar of the white wine world at the moment.

There is a lot of scope for versatility with this sweet, viscous wine, though you can expect to get hints of tropical fruit, nectarine, melon and pineapple from a solid Riesling.

The grape originated in the Rhine region of Germany, and the best of them are said to grow along the banks of the Mosel River on the beautiful steep, south facing hills.

There are six categories of Riesling which indicate the ripeness of the grapes. Kabinett is considered “off-dry” and is a typically ripe grape. Spätlese is riper and therefor sweeter, and Auslese is even riper still. Beyond on that you have Beerenauslese, Trockenbeerenauslese and Eiswein (or ice wine), all getting sweeter, more viscous and more expensive.

It's a favorite in the food and beverage industry because of its willingness to play with a wide variety of foods, particular spicy dishes. The current Asian fusion boom is thought to have had a tremendous effect on Riesling's popularity."
74,Bernkasteler Badstube Riesling Spätlese,Wwe. Dr. H. Thanisch - Erben Thanisch,2016,3.8,34.99,Mosel,Germany,Riesling,3.9389267,3.0625854,2.7817073,,"Riesling is without question Germany's favorite grape. Widely planted, though once derided, Riesling is the superstar of the white wine world at the moment.

There is a lot of scope for versatility with this sweet, viscous wine, though you can expect to get hints of tropical fruit, nectarine, melon and pineapple from a solid Riesling.

The grape originated in the Rhine region of Germany, and the best of them are said to grow along the banks of the Mosel River on the beautiful steep, south facing hills.

There are six categories of Riesling which indicate the ripeness of the grapes. Kabinett is considered “off-dry” and is a typically ripe grape. Spätlese is riper and therefor sweeter, and Auslese is even riper still. Beyond on that you have Beerenauslese, Trockenbeerenauslese and Eiswein (or ice wine), all getting sweeter, more viscous and more expensive.

It's a favorite in the food and beverage industry because of its willingness to play with a wide variety of foods, particular spicy dishes. The current Asian fusion boom is thought to have had a tremendous effect on Riesling's popularity."
75,Nightingale,Beringer,2008,4.1,34.99,Napa Valley,United States,,,,,,
76,Ethos Reserve Late Harvest Riesling,Chateau Ste. Michelle,2014,3.9,35.99,Columbia Valley,United States,Riesling,,,,,
77,Vinsanto,SantoWines,2012,4.4,35.99,Santorini,Greece,,,,,,
78,Château Violet-Lamothe Sauternes,Château Laribotte,2015,3.8,35.99,Sauternes,France,Sauvignon Blanc,4.4251814000000005,4.577243,4.839303,,
79,The Brothers Late Harvest Sauvignon Blanc,Giesen,2013,4.3,36.99,Marlborough,New Zealand,Sauvignon Blanc,3.4089248,3.1201074,3.1350536,,"Sauvignon Blanc is the flagship varietal of New Zealand, and is typically a very crisp aromatic wine with notes of grapefruit, tropical fruit and cut grass.

The much-lauded white wines of New Zealand tend to be slightly sweeter than those from Bordeaux and the Loire Valley, and are hugely influenced by the growing conditions of the country.

The grape originates from Bordeaux, where it is also known as Pouilly-Fumé, Sancerre, and Graves, and is one of the world's most widely planted grapes.

Marlborough is the most revered wine-producing region in the small country, accounting for 62% of all wine produced in New Zealand.

The New Zealand Sauvignon Blanc scene started popping in 1970s, with the high quality Sauvignon Blancs coming out of Marlborough illustrating the great potential for grape growing in New Zealand.

Sauvignon Blanc tends to be fermented in stainless steel vats, which results in a clean, crisp flavor, and will not show any of that butteriness that is often prevalent in well-oaked Chardonnay for instance.

When it comes to pairing, think white meat, shellfish, and try to accentuate the herbaceous qualities of the wine with ingredients like parsley and cilantro."
80,Tokaji Late Harvest,Oremus,2015,4.3,36.99,Tokaj,Hungary,,,,,,
81,Carmes de Rieussec Sauternes,Château Rieussec,2011,4.1,36.99,Sauternes,France,Sauvignon Blanc,4.337769000000001,4.843282,4.922308999999999,,
82,Vin Santo del Chianti Classico,Fèlsina,2008,4.0,37.95,Vin Santo del Chianti Classico,Italy,,,,,,
83,Moscato Rosa,Cantina Bolzano / Kellerei Bozen,2012,3.6,37.99,Südtirol - Alto Adige,Italy,,,,,,
84,Goldtröpfchen Riesling Spätlese,Reichsgraf von Kesselstatt,2015,4.2,37.99,Piesport,Germany,Riesling,,,,,"Riesling is without question Germany's favorite grape. Widely planted, though once derided, Riesling is the superstar of the white wine world at the moment.

There is a lot of scope for versatility with this sweet, viscous wine, though you can expect to get hints of tropical fruit, nectarine, melon and pineapple from a solid Riesling.

The grape originated in the Rhine region of Germany, and the best of them are said to grow along the banks of the Mosel River on the beautiful steep, south facing hills.

There are six categories of Riesling which indicate the ripeness of the grapes. Kabinett is considered “off-dry” and is a typically ripe grape. Spätlese is riper and therefor sweeter, and Auslese is even riper still. Beyond on that you have Beerenauslese, Trockenbeerenauslese and Eiswein (or ice wine), all getting sweeter, more viscous and more expensive.

It's a favorite in the food and beverage industry because of its willingness to play with a wide variety of foods, particular spicy dishes. The current Asian fusion boom is thought to have had a tremendous effect on Riesling's popularity."
85,Sauternes,Château La Fleur d’Or,2014,3.9,37.99,Sauternes,France,Sauvignon Blanc,4.4792547,4.91739,4.9532375,,
86,Tre Colli Recioto di Soave,Tessari,2013,3.8,38.99,Recioto di Soave,Italy,Trebbiano,,,,,
87,Castello della Sala Muffato della Sala,Antinori,2009,4.3,39.95,Umbria,Italy,,,,,,
88,Vin Jaune Côtes du Jura,Badoz,2011,3.6,39.98,Côtes du Jura,France,Savagnin,,,,,"Vin jaune from the Jura region of France, is best known for oxidized nutty and toasty flavors and aromas, similar to a dry Fino Sherry. These high-acid wines also offer up notes of curry, spice, citrus and mineral.

To create vin jaune, wine from Savagnin grapes—an ancient variety native to northeastern France and southwestern Germany—spends six years nearly untouched under a layer of flor (naturally occurring yeast) inside a cask (a process similar to sherry production, but Vin Jaune is not fortified).

Vin jaune is made in four Jura appellations: Arbois, Château-Chalon, Côtes du Jura and L'Étoile. The best examples of vin jaune come from Château-Chalon, where the Savagnin is late-harvested so it achieves more flavor and ripeness. It is also the only wine that's allowed to be made in that region.

True to its name, 'vin jaune', which translates to 'yellow wine', can show in the glass as bright yellow or golden in color."
89,Sauternes,Château Les Justices,2011,4.1,39.99,Sauternes,France,Sauvignon Blanc,4.3975663,4.6760283,4.922872,,
90,Sauternes,Château Haut-Bergeron,2016,4.3,39.99,Sauternes,France,Sauvignon Blanc,4.336364700000001,4.699628400000001,4.9194016,,
91,Tokaji Late Harvest,Oremus,2018,4.1,39.99,Tokaj,Hungary,,,,,,
92,Petit Guiraud Sauternes,Château Guiraud,2016,3.9,39.99,Sauternes,France,Sauvignon Blanc,4.3912873,4.773666,4.928252,,
93,Carmes de Rieussec Sauternes,Château Rieussec,2016,3.7,40.99,Sauternes,France,Sauvignon Blanc,4.337769000000001,4.843282,4.922308999999999,,
94,Vouvray Le Haut-Lieu Moelleux,Domaine Huet,2018,4.0,42.99,Vouvray,France,Chenin Blanc,3.6023684,2.5157895,2.3976316000000004,,"Loire Chenin Blanc is characterized by its distinctive high acidity. Most tend to be off-dry to medium sweet, with notes of flowers, straw and honey.

The best sweet styles are made from grapes affected by noble rot, which become golden and honeyed. Dry styles possess a chalky minerality to them.

Spanning the Loire River as it flows out to the Atlantic Ocean, the region has diverse soils and climates, meaning Chenin Blanc comes in all different styles.

Because of the grape's inherent high acidity, Chenin Blanc's charm can be lost in cooler vintages, with the acid overpowering."
95,Acininobili,Maculan,2009,4.3,42.99,Breganze,Italy,,,,,,
96,Malvasia delle Lipari Passito,Punta dell'Ufala di Paola Lantieri,2012,4.1,44.95,Malvasia delle Lipari,Italy,,,,,,
97,Sauternes (Premier Grand Cru Classé),Château Suduiraut,2008,4.3,44.95,Sauternes,France,Sauvignon Blanc,4.363766,4.741132299999999,4.8958597,,
98,L'Ecrù Sicilia Passito,Firriato,2013,4.0,44.99,Terre Siciliane,Italy,Malvasia,2.4651693999999997,4.034141,3.7559116,,"Italy is responsible for some of the finest wines in the world, and while Northern Italy receives the majority of the plaudits, there is some excellent wine emerging from the sparsely populated southern regions.

Fiano and Greco are the two big white varietals in Campania and Basilicata, while Sicily has become known for their Bianco d'Alcamo, a dry wine made from the Marsala grape.

Southern Italy's reputation has taken a beating in recent years as they have become known for producing bulk wine that they can't sell, and the reputation seems to endure despite some lovely wine coming from Sicily, Campania and Basilicata.

Fiano tends to be a wonderfully creamy white wine with lots of green apple skin and pear. Greco, arguably Campania's flagship white grape, is a lot crisper, and typically has an abundance of minerality, lemon notes and pear.

The white wine of Southern Italy pairs extremely well with the creamy regional cuisine, as well as with some freshly caught fish or shellfish."
99,Vin Santo del Chianti,Bellini,2009,3.9,44.99,Vin Santo del Chianti,Italy,,,,,,
100,Trittenheimer Apotheke Riesling Spätlese,Ansgar Clüsserath,2016,4.3,44.99,Mosel,Germany,Riesling,3.6109428,3.1206949,3.2191565,,"Riesling is without question Germany's favorite grape. Widely planted, though once derided, Riesling is the superstar of the white wine world at the moment.

There is a lot of scope for versatility with this sweet, viscous wine, though you can expect to get hints of tropical fruit, nectarine, melon and pineapple from a solid Riesling.

The grape originated in the Rhine region of Germany, and the best of them are said to grow along the banks of the Mosel River on the beautiful steep, south facing hills.

There are six categories of Riesling which indicate the ripeness of the grapes. Kabinett is considered “off-dry” and is a typically ripe grape. Spätlese is riper and therefor sweeter, and Auslese is even riper still. Beyond on that you have Beerenauslese, Trockenbeerenauslese and Eiswein (or ice wine), all getting sweeter, more viscous and more expensive.

It's a favorite in the food and beverage industry because of its willingness to play with a wide variety of foods, particular spicy dishes. The current Asian fusion boom is thought to have had a tremendous effect on Riesling's popularity."
101,Barsac (Grand Cru Classé),Château Doisy-Daëne,2015,4.1,46.95,Barsac,France,Sauvignon Blanc,4.332616000000001,4.7315629999999995,4.8789725,,
102,Sauternes (Grand Cru Classé),Château Filhot,2001,4.1,46.99,Sauternes,France,Sauvignon Blanc,4.3812475,4.8240347,4.943792,,
103,Recioto della Valpolicella Valpantena,Bertani,2015,3.8,46.99,Recioto della Valpolicella,Italy,,,,,,
104,Passito di Noto,Planeta,2016,4.1,48.99,Noto,Italy,Malvasia,2.6446104,3.8028247000000004,3.9671428,,"Italy is responsible for some of the finest wines in the world, and while Northern Italy receives the majority of the plaudits, there is some excellent wine emerging from the sparsely populated southern regions.

Fiano and Greco are the two big white varietals in Campania and Basilicata, while Sicily has become known for their Bianco d'Alcamo, a dry wine made from the Marsala grape.

Southern Italy's reputation has taken a beating in recent years as they have become known for producing bulk wine that they can't sell, and the reputation seems to endure despite some lovely wine coming from Sicily, Campania and Basilicata.

Fiano tends to be a wonderfully creamy white wine with lots of green apple skin and pear. Greco, arguably Campania's flagship white grape, is a lot crisper, and typically has an abundance of minerality, lemon notes and pear.

The white wine of Southern Italy pairs extremely well with the creamy regional cuisine, as well as with some freshly caught fish or shellfish."
105,Tokaji Aszú 5 Puttonyos,Disznókó,2010,4.3,49.95,Tokaj,Hungary,,,,,,
106,VT Vendemmia Tardiva,Capichera,2016,4.4,49.99,Isola dei Nuraghi,Italy,,,,,,
107,Dolce (Late Harvest),Dolce,2013,4.6,49.99,Napa Valley,United States,,,,,,
108,Tokaji Aszú 5 Puttonyos,Disznókó,2008,4.3,49.99,Tokaj,Hungary,,,,,,
109,Le Viole Recioto della Valpolicella Classico,Accordini,2011,4.4,49.99,Recioto della Valpolicella Classico,Italy,,,,,,
